"";"OBJECTID.N.9.0";"USE.N.19.11";"RS.C.12";"GF.N.19.11";"X";"RAU_RS.C.12";"GEN.C.50";"DES.C.75";"AGS.C.12";"RS_ALT.C.20";"WIRKSAMKEI.D";"DEBKG_ID.C.16";"LENGTH.N.19.11";"Shape_Leng.N.19.11";"Shape_Area.N.19.11"
"1";17;6;92780178178;4;NA;92780178178;"Rattenberg";"Gemeinde";9278178;92780178178;"01.01.09";"DEBKGDL20000E3QO";33548,3515316;33575,5656931;30241588,6178
"2";30;6;92770144144;4;NA;92770144144;"Schönau";"Gemeinde";9277144;92770144144;"01.01.09";"DEBKGDL20000E72Z";35360,2576129;35376,2798778;36207001,5232
"3";44;6;92760129129;4;NA;92760129129;"Langdorf";"Gemeinde";9276129;92760129129;"01.01.09";"DEBKGDL20000E25U";27954,6446098;27982,1305219;34369696,0156
"4";48;6;91740131131;4;NA;91740131131;"Markt Indersdorf";"Gemeinde";9174131;91740131131;"01.01.09";"DEBKGDL20000E72Q";61587,9747151;61572,0845276;68399143,3077
"5";70;6;92750151151;4;NA;92750151151;"Tiefenbach";"Gemeinde";9275151;92750151151;"01.01.09";"DEBKGDL20000E734";44089,6826579;44127,0788835;49441061,9259
"6";73;6;120610219219;4;NA;120610219219;"Heideblick";"Gemeinde";12061219;120610219219;"01.01.09";"DEBKGDL20000E5YY";78344,9514126;78481,373195;167393590,436
"7";82;6;93770142142;4;NA;93770142142;"Neualbenreuth";"Gemeinde";9377142;93770142142;"01.01.09";"DEBKGDL20000E40M";42120,5034954;42165,3531152;50170039,6757
"8";99;6;93720115115;4;NA;93720115115;"Blaibach";"Gemeinde";9372115;93720115115;"01.01.09";"DEBKGDL20000E1P5";23742,5805934;23763,5373484;17090841,7109
"9";102;6;120610572572;4;NA;120610572572;"Zeuthen";"Gemeinde";12061572;120610572572;"01.01.09";"DEBKGDL20000E3E3";28858,6698389;28903,6235173;13383466,1389
"10";107;6;120730579579;4;NA;120730579579;"Uckerland";"Gemeinde";12073579;120730579579;"01.01.09";"DEBKGDL20000DZ6J";83394,0284719;83476,6964163;167359491,159
"11";109;6;91740151151;4;NA;91740151151;"Weichs";"Gemeinde";9174151;91740151151;"01.01.09";"DEBKGDL20000DW3O";26572,0614973;26565,965377;18754948,816
"12";118;6;93740133133;4;NA;93740133133;"Luhe-Wildenau";"Gemeinde";9374133;93740133133;"01.01.09";"DEBKGDL20000E0TE";46893,1870669;46930,3038071;38970984,8042
"13";122;6;100440118118;4;NA;100440118118;"Schwalbach";"Gemeinde";10044118;100440118118;"01.01.09";"DEBKGDL20000E5WI";28819,8888302;28829,20484;27451219,9248
"14";131;6;94750113113;4;NA;94750113113;"Berg";"Gemeinde";9475113;94750113113;"01.01.09";"DEBKGDL20000E46M";44602,6743698;44644,2016427;38762949,3012
"15";140;6;93730160160;4;NA;93730160160;"Seubersdorf i.d. OPf.";"Gemeinde";9373160;93730160160;"01.01.09";"DEBKGDL20000E73M";54205,9698864;54226,4945217;68354839,2324
"16";148;6;32410020020;4;NA;32410020020;"Wennigsen (Deister)";"Gemeinde";3241020;32410020020;"01.01.09";"DEBKGDL20000E3DH";44604,0960955;44621,5962428;53506089,0462
"17";166;6;10550028028;4;NA;10550028028;"Malente";"Gemeinde";1055028;10550028028;"01.01.09";"DEBKGDL20000E2XR";55565,4751842;55525,6202088;68911350,7426
