;Geschosse;WF;BFläche;BFläche nach Mittelwert;BGF;NGF;Kellerdecke;Präzi;V Brutto;GFV RE;GFV IST;GFV NOROOT;Heizwärmebedarf pro m2;Heizwärmebedarf gesamt;HWF/V
EFH_A  vor 1918 ;2,7;199;314;358;116;95;85;1,12;768;1,18;1,01;0,12;210;41790;64,12
EFH_B  vor 1918 ;2,7;129;248;232;92;74;78;0,95;595;1,14;1,05;0,13;250;32250;61,72
EFH_C  1919-1948 ;2,7;275;528;495;196;159;145;1,10;1053;1,37;1,18;0,15;194;53350;69,64
EFH_D  1949-1957 ;1,7;101;194;182;114;93;80;1,16;380;1,47;1,23;0,24;223;22523;87,40
EFH_E  1958-1968 ;1,7;242;465;436;273;222;196;1,13;934;1,69;1,43;0,24;166;40172;72,74
EFH_F  1969-1978 ;1,7;158;303;284;178;145;152;0,95;606;1,58;1,46;0,24;182;28756;74,91
EFH_F/F 1969-1978;1,7;168;265;302;156;127;106;1,20;560;1,52;1,25;0,23;123;20664;55,94
EFH_G  1979-1983 ;2,7;196;376;353;139;113;83;1,36;647;1,36;1,05;0,17;120;23520;49,62
EFH_H  1984-1994 ;2,7;137;263;247;97;79;75;1,05;514;1,23;1,08;0,15;140;19180;45,98
RH_B  vor 1918 ;2;87;132;157;66;56;60;0,93;390;1,11;1,06;0,14;204;17748;50,65
RH_C  1919-1948 ;2,7;103;157;185;58;49;50;0,98;423;1,01;0,94;0,12;166;17098;41,00
RH_D  1949-1957 ;2;136;207;245;103;87;81;1,08;469;1,31;1,16;0,19;163;22168;61,85
RH_E  1958-1968 ;2;107;163;193;81;69;48;1,43;374;1,25;0,96;0,18;135;14445;48,34
RH_F  1969-1978 ;2;97;147;175;74;62;61;1,02;335;1,24;1,12;0,19;159;15423;56,92
RH_G  1979-1983 ;2;98;149;176;74;63;73;0,86;409;1,16;1,15;0,15;129;12642;35,94
RH_H  1984-1990 ;2;116;176;209;88;74;56;1,33;421;1,25;1,00;0,18;97;11252;33,48
MFH_A  vor 1918 ;4;616;1103;1109;276;231;174;1,33;2488;1,23;0,97;0,09;241;148456;73,11
MFH_B  vor 1918 ;4;284;508;511;127;107;103;1,04;1360;1,02;0,92;0,08;180;51120;38,25
MFH_C  1919-1948 ;3;350;627;630;209;175;159;1,10;1171;1,37;1,20;0,15;193;67550;79,09
MFH_D  1949-1957 ;3;575;1029;1035;343;288;355;0,81;1919;1,49;1,52;0,15;211;121325;94,24
MFH_E  1958-1968 ;4;2845;5093;5121;1273;1068;971;1,10;10397;1,63;1,43;0,10;168;477960;75,15
MFH_F  1969-1978 ;4;426;763;767;191;160;217;0,74;1435;1,22;1,31;0,11;139;59214;50,51
MFH_G  1979-1983 ;3,7;595;1065;1071;288;242;248;0,97;2040;1,34;1,24;0,12;118;70210;46,04
MFH_H  1984-1994 ;4;707;1266;1273;316;265;249;1,07;2413;1,33;1,18;0,11;122;86254;47,40
GMH_B  vor 1918 ;5;754;1418;1357;284;242;164;1,48;3375;1,12;0,85;0,07;159;119886;39,87
GMH_C  1919-1948 ;5;1349;2536;2428;507;434;396;1,10;5942;1,24;1,10;0,07;164;221236;46,30
GMH_D  1949-1957 ;5;1457;2739;2623;548;468;354;1,32;4808;1,39;1,11;0,10;173;252061;72,70
GMH_E  1958-1968 ;8;3534;6644;6361;830;710;459;1,55;13166;1,22;0,91;0,05;172;607848;56,35
GMH_F  1969-1978 ;8;3020;5678;5436;710;607;540;1,12;9805;1,24;1,09;0,06;140;422800;53,67
HH_E  1958-1968 ;22;10408;15612;18734;710;603;485;1,24;36379;0,80;0,66;0,02;119;1238552;27,37
HH_F  1969-1978 ;13;18012;27018;32422;2078;1767;1469;1,20;68360;1,11;0,94;0,03;103;1855236;30,26
