;Länge;Breite;Abzugslänge;Abzugsbreite;Umfang;Realfläche;Geschosse;Wärmebedarf pro m3 Ideal;Höhe;Realvolumen;BGF;WF;"Kantenlänge
Idealkörper";Wärmebedarf gesamt (Idealkörper);Anteil pro m2 Boden;U Wert;Bodenfläche Real;Wärmebedarf Boden;Anteil pro m2 Wand;U Wert;Wandfläche Real;Wärmebedarf Wand;Anteil pro m2 Dach;U Wert;Dachfläche Real;Wärmebedarf Dach;Wärmebedarf gesamt;AV Verhältnis Real
;14;7;0;0;42;98;2,5;35,00;7,5;735;98;163;9,02;25725,00;63,48;0,60;98;6221;99,09;1,50;285;28242;153,29;2,32;98;15022;49.485,0;0,7
;12;7;0;0;38;84;2,3;35,00;6,9;579,6;84;129;8,34;20286,00;58,65;0,56;84;4927;91,55;1,39;304;27795;141,62;2,15;84;11896;44.617,1;0,7
;15;15;0;0;60;225;2;35,00;6;1350;225;300;11,05;47250,00;77,74;0,74;225;17492;121,36;1,84;300;36407;187,72;2,84;225;42238;96.137,0;0,6
;10;20;0;0;60;200;2;35,00;6;1200;200;267;10,63;42000,00;74,75;0,71;200;14950;116,68;1,77;300;35005;180,50;2,73;200;36099;86.054,5;0,6
;5;25;0;0;60;125;2;35,00;6;750;125;167;9,09;26250,00;63,91;0,61;125;7989;99,76;1,51;360;35915;154,32;2,34;125;19290;63.193,9;0,8
;25;5;5;2;64;115;2;35,00;6;690;115;153;8,84;24150,00;62,16;0,59;115;7148;97,03;1,47;324;31437;150,09;2,27;115;17261;55.846,2;0,9
;20;10;5;2;64;190;2;35,00;6;1140;190;253;10,45;39900,00;73,48;0,70;190;13962;114,71;1,74;324;37165;177,44;2,69;190;33713;84.839,4;0,7
;15;15;5;2;64;215;2;35,00;6;1290;215;287;10,89;45150,00;76,57;0,73;215;16464;119,53;1,81;324;38728;184,90;2,80;215;39753;94.945,1;0,6
;10;20;5;2;64;190;2;35,00;6;1140;190;253;10,45;39900,00;73,48;0,70;190;13962;114,71;1,74;324;37165;177,44;2,69;190;33713;84.839,4;0,7
;5;25;5;2;64;115;2;35,00;6;690;115;153;8,84;24150,00;62,16;0,59;115;7148;97,03;1,47;384;37259;150,09;2,27;115;17261;61.667,9;0,9
;25;5;5;4;68;105;2;35,00;6;630;105;140;8,57;22050,00;60,30;0,57;105;6332;94,13;1,43;348;32757;145,61;2,21;105;15289;54.378,1;1,0
;20;10;5;4;68;180;2;35,00;6;1080;180;240;10,26;37800,00;72,17;0,69;180;12991;112,66;1,71;348;39205;174,27;2,64;180;31368;83.563,5;0,7
;15;15;5;4;68;205;2;35,00;6;1230;205;273;10,71;43050,00;75,37;0,72;205;15451;117,65;1,78;348;40942;181,99;2,76;205;37307;93.699,6;0,7
;10;20;5;4;68;180;2;35,00;6;1080;180;240;10,26;37800,00;72,17;0,69;180;12991;112,66;1,71;348;39205;174,27;2,64;180;31368;83.563,5;0,7
;5;25;5;4;68;105;2;35,00;6;630;105;140;8,57;22050,00;60,30;0,57;105;6332;94,13;1,43;408;38405;145,61;2,21;105;15289;60.026,0;1,0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;100,8;;;;;;;;;;;;;;;;;;;;;
;;;;;;;119,4;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hgh Keller
;;;;;;;;;;;;;;;;;;;;;;;;;;;;105120
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Heizgradstunden pro Jahr D
;;;;;;;;;;;;;;;;;;;;;;;;;;;;66000
