;A Grund;U Boden;U Wand;U Boden;
EFH_A  vor 1918 ;;1,04;1,9;1,8;
EFH_B  vor 1918 ;;1,11;1,7;1,11;
EFH_C  1919-1948 ;;1,11;1,7;1,11;
EFH_D  1949-1957 ;;1,01;0,93;1,11;
EFH_E  1958-1968 ;;0,97;1,44;0,92;
EFH_F  1969-1978 ;;0,85;1,21;0,63;
EFH_F/F 1969-1978;;;;;
EFH_G  1979-1983 ;;0,81;0,8;0,43;
EFH_H  1984-1994 ;;0,55;0,68;0,3;
EFH_I 1995-2001;;0,34;0,55;0,22;
EFH_J ab 2002;;0,4;0,35;0,22;
;;;;;
RH_B  vor 1918 ;;0,91;1,7;0,78;
RH_C  1919-1948 ;;1,6;1,39;0,78;
RH_D  1949-1957 ;;1,01;0,86;0,78;
RH_E  1958-1968 ;;0,97;1,44;1,23;
RH_F  1969-1978 ;;0,97;0,8;0,52;
RH_G  1979-1983 ;;0,67;0,68;0,43;
RH_H  1984-1990 ;;0,55;0,77;0,3;
RH_I 1995-2001;;0,32;0,49;0,22;
RH_J ab 2002;;0,29;0,24;0,14;
;;;;;
MFH_A  vor 1918 ;;1,04;1,9;2,6;
MFH_B  vor 1918 ;;1,37;1,45;2,6;
MFH_C  1919-1948 ;;1,11;1,64;1,41;
MFH_D  1949-1957 ;;0,65;1,44;1,17;
MFH_E  1958-1968 ;;0,97;1,21;2,3;
MFH_F  1969-1978 ;;0,97;0,74;0,59;
MFH_G  1979-1983 ;;0,67;0,8;0,44;
MFH_H  1984-1994 ;;0,55;0,66;0,3;
MFH_I 1995-2001;;0,34;0,28;0,21;
MFH_J ab 2002;;0,34;0,35;0,22;
;;;;;
GMH_B  vor 1918 ;;1,37;1,45;2,6;
GMH_C  1919-1948 ;;1,11;1,45;0,78;
GMH_D  1949-1957 ;;1,55;1,21;2,08;
GMH_E  1958-1968 ;;0,85;1,3;0,82;
GMH_F  1969-1978 ;;0,97;1,46;0,82;
HH_E  1958-1968 ;;0,97;1,11;0,68;
HH_F  1969-1978 ;;0,71;0,82;0,35;
;;;;;
;;;;;
;;;;;
