Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1700;AB;57;54;52;59;61;57;57;
1701;AB;57;54;52;59;61;57;57;
1702;AB;57;54;52;59;61;57;57;
1703;AB;57;54;52;59;61;57;57;
1704;AB;57;54;52;59;61;57;57;
1705;AB;57;54;52;59;61;57;57;
1706;AB;57;54;52;59;61;57;57;
1707;AB;57;54;52;59;61;57;57;
1708;AB;57;54;52;59;61;57;57;
1709;AB;57;54;52;59;61;57;57;
1710;AB;57;54;52;59;61;57;57;
1711;AB;57;54;52;59;61;57;57;
1712;AB;57;54;52;59;61;57;57;
1713;AB;57;54;52;59;61;57;57;
1714;AB;57;54;52;59;61;57;57;
1715;AB;57;54;52;59;61;57;57;
1716;AB;57;54;52;59;61;57;57;
1717;AB;57;54;52;59;61;57;57;
1718;AB;57;54;52;59;61;57;57;
1719;AB;57;54;52;59;61;57;57;
1720;AB;57;54;52;59;61;57;57;
1721;AB;57;54;52;59;61;57;57;
1722;AB;57;54;52;59;61;57;57;
1723;AB;57;54;52;59;61;57;57;
1724;AB;57;54;52;59;61;57;57;
1725;AB;57;54;52;59;61;57;57;
1726;AB;57;54;52;59;61;57;57;
1727;AB;57;54;52;59;61;57;57;
1728;AB;57;54;52;59;61;57;57;
1729;AB;57;54;52;59;61;57;57;
1730;AB;57;54;52;59;61;57;57;
1731;AB;57;54;52;59;61;57;57;
1732;AB;57;54;52;59;61;57;57;
1733;AB;57;54;52;59;61;57;57;
1734;AB;57;54;52;59;61;57;57;
1735;AB;57;54;52;59;61;57;57;
1736;AB;57;54;52;59;61;57;57;
1737;AB;57;54;52;59;61;57;57;
1738;AB;57;54;52;59;61;57;57;
1739;AB;57;54;52;59;61;57;57;
1740;AB;57;54;52;59;61;57;57;
1741;AB;57;54;52;59;61;57;57;
1742;AB;57;54;52;59;61;57;57;
1743;AB;57;54;52;59;61;57;57;
1744;AB;57;54;52;59;61;57;57;
1745;AB;57;54;52;59;61;57;57;
1746;AB;57;54;52;59;61;57;57;
1747;AB;57;54;52;59;61;57;57;
1748;AB;57;54;52;59;61;57;57;
1749;AB;57;54;52;59;61;57;57;
1750;AB;57;54;52;59;61;57;57;
1751;AB;57;54;52;59;61;57;57;
1752;AB;57;54;52;59;61;57;57;
1753;AB;57;54;52;59;61;57;57;
1754;AB;57;54;52;59;61;57;57;
1755;AB;57;54;52;59;61;57;57;
1756;AB;57;54;52;59;61;57;57;
1757;AB;57;54;52;59;61;57;57;
1758;AB;57;54;52;59;61;57;57;
1759;AB;57;54;52;59;61;57;57;
1760;AB;57;54;52;59;61;57;57;
1761;AB;57;54;52;59;61;57;57;
1762;AB;57;54;52;59;61;57;57;
1763;AB;57;54;52;59;61;57;57;
1764;AB;57;54;52;59;61;57;57;
1765;AB;57;54;52;59;61;57;57;
1766;AB;57;54;52;59;61;57;57;
1767;AB;57;54;52;59;61;57;57;
1768;AB;57;54;52;59;61;57;57;
1769;AB;57;54;52;59;61;57;57;
1770;AB;57;54;52;59;61;57;57;
1771;AB;57;54;52;59;61;57;57;
1772;AB;57;54;52;59;61;57;57;
1773;AB;57;54;52;59;61;57;57;
1774;AB;57;54;52;59;61;57;57;
1775;AB;57;54;52;59;61;57;57;
1776;AB;57;54;52;59;61;57;57;
1777;AB;57;54;52;59;61;57;57;
1778;AB;57;54;52;59;61;57;57;
1779;AB;57;54;52;59;61;57;57;
1780;AB;57;54;52;59;61;57;57;
1781;AB;57;54;52;59;61;57;57;
1782;AB;57;54;52;59;61;57;57;
1783;AB;57;54;52;59;61;57;57;
1784;AB;57;54;52;59;61;57;57;
1785;AB;57;54;52;59;61;57;57;
1786;AB;57;54;52;59;61;57;57;
1787;AB;57;54;52;59;61;57;57;
1788;AB;57;54;52;59;61;57;57;
1789;AB;57;54;52;59;61;57;57;
1790;AB;57;54;52;59;61;57;57;
