Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1700;AB;49;54;52;43;61;41;42;
1701;AB;49;54;52;43;61;41;42;
1702;AB;49;54;52;43;61;41;42;
1703;AB;49;54;52;43;61;41;42;
1704;AB;49;54;52;43;61;41;42;
1705;AB;49;54;52;43;61;41;42;
1706;AB;49;54;52;43;61;41;42;
1707;AB;49;54;52;43;61;41;42;
1708;AB;49;54;52;43;61;41;42;
1709;AB;49;54;52;43;61;41;42;
1710;AB;49;54;52;43;61;41;42;
1711;AB;49;54;52;43;61;41;42;
1712;AB;49;54;52;43;61;41;42;
1713;AB;49;54;52;43;61;41;42;
1714;AB;49;54;52;43;61;41;42;
1715;AB;49;54;52;43;61;41;42;
1716;AB;49;54;52;43;61;41;42;
1717;AB;49;54;52;43;61;41;42;
1718;AB;49;54;52;43;61;41;42;
1719;AB;49;54;52;43;61;41;42;
1720;AB;49;54;52;43;61;41;42;
1721;AB;49;54;52;43;61;41;42;
1722;AB;49;54;52;43;61;41;42;
1723;AB;49;54;52;43;61;41;42;
1724;AB;49;54;52;43;61;41;42;
1725;AB;49;54;52;43;61;41;42;
1726;AB;49;54;52;43;61;41;42;
1727;AB;49;54;52;43;61;41;42;
1728;AB;49;54;52;43;61;41;42;
1729;AB;49;54;52;43;61;41;42;
1730;AB;49;54;52;43;61;41;42;
1731;AB;49;54;52;43;61;41;42;
1732;AB;49;54;52;43;61;41;42;
1733;AB;49;54;52;43;61;41;42;
1734;AB;49;54;52;43;61;41;42;
1735;AB;49;54;52;43;61;41;42;
1736;AB;49;54;52;43;61;41;42;
1737;AB;49;54;52;43;61;41;42;
1738;AB;49;54;52;43;61;41;42;
1739;AB;49;54;52;43;61;41;42;
1740;AB;49;54;52;43;61;41;42;
1741;AB;49;54;52;43;61;41;42;
1742;AB;49;54;52;43;61;41;42;
1743;AB;49;54;52;43;61;41;42;
1744;AB;49;54;52;43;61;41;42;
1745;AB;49;54;52;43;61;41;42;
1746;AB;49;54;52;43;61;41;42;
1747;AB;49;54;52;43;61;41;42;
1748;AB;49;54;52;43;61;41;42;
1749;AB;49;54;52;43;61;41;42;
1750;AB;49;54;52;43;61;41;42;
1751;AB;49;54;52;43;61;41;42;
1752;AB;49;54;52;43;61;41;42;
1753;AB;49;54;52;43;61;41;42;
1754;AB;49;54;52;43;61;41;42;
1755;AB;49;54;52;43;61;41;42;
1756;AB;49;54;52;43;61;41;42;
1757;AB;49;54;52;43;61;41;42;
1758;AB;49;54;52;43;61;41;42;
1759;AB;49;54;52;43;61;41;42;
1760;AB;49;54;52;43;61;41;42;
1761;AB;49;54;52;43;61;41;42;
1762;AB;49;54;52;43;61;41;42;
1763;AB;49;54;52;43;61;41;42;
1764;AB;49;54;52;43;61;41;42;
1765;AB;49;54;52;43;61;41;42;
1766;AB;49;54;52;43;61;41;42;
1767;AB;49;54;52;43;61;41;42;
1768;AB;49;54;52;43;61;41;42;
