Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1700;AB;78;307,57;0,47;0,47;0,47;0,47;159;
1701;AB;4.103;23.581,29;250;204;241;180;159;
1702;AB;4.106;23.603,44;250;204;241;180;159;
1703;AB;4.110;23.625,60;250;204;241;180;159;
1704;AB;4.114;23.647,76;250;204;241;180;159;
1705;AB;4.117;23.669,92;250;204;241;180;159;
1706;AB;4.121;23.692,09;250;204;241;180;159;
1707;AB;4.125;23.714,25;250;204;241;180;159;
1708;AB;4.128;23.736,42;250;204;241;180;159;
1709;AB;4.132;23.758,58;250;204;241;180;159;
1710;AB;4.136;23.780,75;250;204;241;180;159;
1711;AB;4.139;23.802,92;250;204;241;180;159;
1712;AB;4.143;23.825,09;250;204;241;180;159;
1713;AB;4.147;23.847,26;250;204;241;180;159;
1714;AB;4.151;23.869,44;250;204;241;180;159;
1715;AB;4.154;23.891,61;250;204;241;180;159;
1716;AB;4.158;23.913,79;250;204;241;180;159;
1717;AB;4.162;23.935,97;250;204;241;180;159;
1718;AB;4.165;23.958,14;250;204;241;180;159;
1719;AB;4.169;23.980,32;250;204;241;180;159;
1720;AB;4.173;24.002,51;250;204;241;180;159;
1721;AB;4.176;24.024,69;250;204;241;180;159;
1722;AB;4.180;24.046,87;250;204;241;180;159;
1723;AB;4.184;24.069,06;250;204;241;180;159;
1724;AB;4.188;24.091,24;250;204;241;180;159;
1725;AB;4.191;24.113,43;250;204;241;180;159;
1726;AB;4.195;24.135,62;250;204;241;180;159;
1727;AB;4.199;24.157,81;250;204;241;180;159;
1728;AB;4.202;24.180,00;250;204;241;180;159;
1729;AB;4.206;24.202,19;250;204;241;180;159;
1730;AB;4.210;24.224,39;250;204;241;180;159;
1731;AB;4.213;24.246,58;250;204;241;180;159;
1732;AB;4.217;24.268,78;250;204;241;180;159;
1733;AB;4.221;24.290,98;250;204;241;180;159;
1734;AB;4.225;24.313,18;250;204;241;180;159;
1735;AB;4.228;24.335,38;250;204;241;180;159;
1736;AB;4.232;24.357,58;250;204;241;180;159;
1737;AB;4.236;24.379,78;250;204;241;180;159;
1738;AB;4.239;24.401,98;250;204;241;180;159;
1739;AB;4.243;24.424,19;250;204;241;180;159;
1740;AB;4.247;24.446,39;250;204;241;180;159;
1741;AB;4.250;24.468,60;250;204;241;180;159;
1742;AB;4.254;24.490,81;250;204;241;180;159;
1743;AB;4.258;24.513,02;250;204;241;180;159;
1744;AB;4.262;24.535,23;250;204;241;180;159;
1745;AB;4.265;24.557,44;250;204;241;180;159;
1746;AB;4.269;24.579,65;250;204;241;180;159;
1747;AB;4.273;24.601,87;250;204;241;180;159;
