Year;QGround ;QGround ;QWall ;QWall;QRoof;QRoof ;QRoof (Vert);QRoof (Vert);QHeat Deman;QHeat Deman;QHeat Demand [kWh/m3a];QHeat Demand [kWh/m3a]
1900;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1901;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1902;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1903;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1904;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1905;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1906;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1907;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1908;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1909;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1910;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1911;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1912;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1913;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1914;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1915;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1916;77,44;77,44;27,78;27,78;126,39;126,39;133,11;133,11;77,20;79,44;553,75;553,75
1917;77,44;77,32;27,78;27,52;126,39;119,83;133,11;126,68;74,89;77,18;553,75;546,64
1918;77,44;77,09;27,78;27,01;126,39;106,70;133,11;113,81;70,27;72,64;553,75;532,40
1919;76,40;76,74;25,49;26,25;67,32;87,01;75,20;94,51;63,34;65,83;489,68;511,04
1920;76,40;76,51;25,49;25,75;67,32;73,88;75,20;81,64;58,71;61,30;489,68;496,80
1921;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1922;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1923;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1924;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1925;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1926;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1927;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1928;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1929;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1930;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1931;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1932;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
1933;76,40;76,40;25,49;25,49;67,32;67,32;75,20;75,20;56,40;59,03;489,68;489,68
