Year;QGround ;QGround ;QWall ;QWall;QRoof;QRoof ;QRoof (Vert);QRoof (Vert);QHeat Deman;QHeat Deman
1900;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1901;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1902;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1903;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1904;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1905;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1906;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1907;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1908;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1909;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1910;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1911;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1912;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1913;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1914;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1915;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1916;70,95;70,95;118,80;118,80;96,03;96,03;110,81;110,81;656,96;656,96
1917;70,95;71,21;118,80;118,07;96,03;93,50;110,81;108,39;656,96;651,86
1918;70,95;71,72;118,80;116,60;96,03;88,44;110,81;103,53;656,96;641,65
1919;73,26;72,49;112,20;114,40;73,26;80,85;88,98;96,26;611,04;626,35
1920;73,26;73,00;112,20;112,93;73,26;75,79;88,98;91,41;611,04;616,14
1921;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1922;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1923;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1924;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1925;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1926;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1927;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1928;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1929;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1930;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1931;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1932;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1933;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1934;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1935;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1936;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1937;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1938;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1939;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1940;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1941;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1942;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1943;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1944;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1945;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1946;73,26;73,26;112,20;112,20;73,26;73,26;88,98;88,98;611,04;611,04
1947;73,26;72,53;112,20;108,53;73,26;73,26;88,98;88,98;611,04;595,64
1948;73,26;71,06;112,20;101,20;73,26;73,26;88,98;88,98;611,04;564,84
1949;66,66;68,86;79,20;90,20;73,26;73,26;88,98;88,98;472,44;518,64
1950;66,66;67,39;79,20;82,87;73,26;73,26;88,98;88,98;472,44;487,84
1951;66,66;66,66;79,20;79,20;73,26;73,26;88,98;88,98;472,44;472,44
1952;66,66;66,66;79,20;79,20;73,26;73,26;88,98;88,98;472,44;472,44
1953;66,66;66,66;79,20;79,20;73,26;73,26;88,98;88,98;472,44;472,44
1954;66,66;66,66;79,20;79,20;73,26;73,26;88,98;88,98;472,44;472,44
1955;66,66;66,66;79,20;79,20;73,26;73,26;88,98;88,98;472,44;472,44
1956;66,66;66,37;79,20;80,96;73,26;71,87;88,98;87,49;472,44;477,70
1957;66,66;65,78;79,20;84,48;73,26;69,08;88,98;84,51;472,44;488,21
1958;64,02;64,90;95,04;89,76;60,72;64,90;75,58;80,04;519,76;503,98
1959;64,02;64,31;95,04;93,28;60,72;62,11;75,58;77,07;519,76;514,50
1960;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1961;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1962;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1963;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1964;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1965;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1966;64,02;64,02;95,04;95,04;60,72;60,72;75,58;75,58;519,76;519,76
1967;64,02;63,58;95,04;90,38;60,72;58,19;75,58;71,99;519,76;497,11
1968;64,02;62,70;95,04;81,07;60,72;53,13;75,58;64,83;519,76;451,81
1969;60,06;61,38;53,13;67,10;37,95;45,54;43,32;54,08;315,90;383,86
1970;60,06;60,50;53,13;57,79;37,95;40,48;43,32;46,91;315,90;338,55
1971;60,06;60,06;53,13;53,13;37,95;37,95;43,32;43,32;315,90;315,90
1972;60,06;60,06;53,13;53,13;37,95;37,95;43,32;43,32;315,90;315,90
1973;60,06;60,06;53,13;53,13;37,95;37,95;43,32;43,32;315,90;315,90
1974;60,06;60,06;53,13;53,13;37,95;37,95;43,32;43,32;315,90;315,90
1975;60,06;60,06;53,13;53,13;37,95;37,95;43,32;43,32;315,90;315,90
1976;60,06;60,06;53,13;53,13;37,95;37,95;43,32;43,32;315,90;315,90
1977;60,06;59,33;53,13;53,09;37,95;36,89;43,32;42,70;315,90;314,40
1978;60,06;57,86;53,13;53,02;37,95;34,76;43,32;41,46;315,90;311,40
1979;53,46;55,66;52,80;52,91;28,38;31,57;37,74;39,60;302,40;306,90
1980;53,46;54,19;52,80;52,84;28,38;29,44;37,74;38,36;302,40;303,90
1981;53,46;53,46;52,80;52,80;28,38;28,38;37,74;37,74;302,40;302,40
1982;53,46;51,55;52,80;51,92;28,38;27,43;37,74;36,52;302,40;290,77
1983;53,46;47,74;52,80;50,16;28,38;25,52;37,74;34,10;302,40;267,52
1984;36,30;42,02;44,88;47,52;19,80;22,66;26,81;30,45;197,75;232,63
1985;36,30;38,21;44,88;45,76;19,80;20,75;26,81;28,03;197,75;209,38
1986;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1987;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1988;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1989;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1990;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1991;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1992;36,30;36,30;44,88;44,88;19,80;19,80;26,81;26,81;197,75;197,75
1993;36,30;34,76;44,88;43,93;19,80;19,21;26,81;26,04;197,75;196,62
1994;36,30;31,68;44,88;42,02;19,80;18,04;26,81;24,51;197,75;194,35
1995;22,44;27,06;36,30;39,16;14,52;16,28;19,89;22,20;187,53;190,94
1996;22,44;23,98;36,30;37,25;14,52;15,11;19,89;20,66;187,53;188,66
1997;22,44;22,44;36,30;36,30;14,52;14,52;19,89;19,89;187,53;187,53
1998;22,44;22,44;36,30;36,30;14,52;14,52;19,89;19,89;187,53;187,53
1999;22,44;22,44;36,30;36,30;14,52;14,52;19,89;19,89;187,53;187,53
2000;22,44;22,88;36,30;34,83;14,52;14,52;19,89;19,89;187,53;182,10
2001;22,44;23,76;36,30;31,90;14,52;14,52;19,89;19,89;187,53;171,25
2002;26,40;25,08;23,10;27,50;14,52;14,52;19,89;19,89;138,69;154,97
2003;26,40;25,96;23,10;24,57;14,52;14,52;19,89;19,89;138,69;144,12
2004;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2005;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2006;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2007;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2008;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2009;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2010;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2011;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2012;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2013;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2014;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
2015;26,40;26,40;23,10;23,10;14,52;14,52;19,89;19,89;138,69;138,69
Mittel;57,27;57,27;79,72;79,72;55,12;55,12;66,74;66,74;438,65;438,65
