Year;QGround ;QGround ;QWall ;QWall;QRoof;QRoof ;QRoof (Vert);QRoof (Vert);QHeat Deman;QHeat Deman
1900;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1901;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1902;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1903;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1904;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1905;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1906;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1907;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1908;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1909;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1910;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1911;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1912;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1913;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1914;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1915;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1916;90,42;90,42;95,70;95,70;171,60;171,60;175,20;175,20;457,02;457,02
1917;90,42;88,51;95,70;95,70;171,60;158,25;175,20;161,45;457,02;452,00
1918;90,42;84,70;95,70;95,70;171,60;131,56;175,20;133,96;457,02;441,96
1919;73,26;78,98;95,70;95,70;51,48;91,52;51,48;92,72;411,84;426,90
1920;73,26;75,17;95,70;95,70;51,48;64,83;51,48;65,23;411,84;416,86
1921;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1922;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1923;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1924;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1925;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1926;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1927;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1928;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1929;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1930;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1931;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1932;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1933;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1934;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1935;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1936;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1937;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1938;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1939;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1940;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1941;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1942;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1943;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1944;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1945;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1946;73,26;73,26;95,70;95,70;51,48;51,48;51,48;51,48;411,84;411,84
1947;73,26;76,49;95,70;93,94;51,48;61,01;51,48;61,01;411,84;428,19
1948;73,26;82,94;95,70;90,42;51,48;80,08;51,48;80,08;411,84;460,90
1949;102,30;92,62;79,86;85,14;137,28;108,68;137,28;108,68;559,02;509,96
1950;102,30;99,07;79,86;81,62;137,28;127,75;137,28;127,75;559,02;542,67
1951;102,30;102,30;79,86;79,86;137,28;137,28;137,28;137,28;559,02;559,02
1952;102,30;102,30;79,86;79,86;137,28;137,28;137,28;137,28;559,02;559,02
