Year;EFH;RH;MFH ;GMH;Urb AVG;"SubUrb AVG
";Rur AVG;Total AVG
1900;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1901;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1902;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1903;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1904;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1905;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1906;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1907;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1908;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1909;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1910;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1911;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1912;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1913;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1914;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1915;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1916;70,95;73,26;79,53;90,42;84,23;75,93;71,73;78,54
1917;71,21;74,65;78,83;88,51;83,08;75,98;72,11;78,30
1918;71,72;77,44;77,44;84,70;80,78;76,09;72,86;77,83
1919;72,49;81,62;75,35;78,98;77,34;76,24;74,00;77,11
1920;73,00;84,41;73,96;75,17;75,04;76,34;74,76;76,63
1921;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1922;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1923;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1924;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1925;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1926;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1927;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1928;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1929;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1930;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1931;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1932;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1933;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1934;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1935;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1936;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1937;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1938;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1939;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1940;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1941;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1942;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1943;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1944;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1945;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1946;73,26;85,80;73,26;73,26;73,89;76,40;75,14;76,40
1947;72,53;83,67;74,87;76,49;76,00;76,45;74,32;76,89
1948;71,06;79,42;78,10;82,94;80,23;76,56;72,67;77,88
1949;68,86;73,04;82,94;92,62;86,58;76,73;70,19;79,37
1950;67,39;68,79;86,17;99,07;90,81;76,84;68,54;80,36
1951;66,66;66,66;87,78;102,30;92,93;76,89;67,72;80,85
1952;66,66;66,66;87,78;102,30;92,93;76,89;67,72;80,85
1953;66,66;66,66;87,78;102,30;92,93;76,89;67,72;80,85
1954;66,66;66,66;87,78;102,30;92,93;76,89;67,72;80,85
1955;66,66;66,66;87,78;102,30;92,93;76,89;67,72;80,85
1956;66,37;66,37;85,29;97,61;89,55;75,50;67,31;78,91
