Year;QGround ;QGround ;QWall ;QWall;QRoof;QRoof ;QRoof (Vert);QRoof (Vert);QHeat Deman;QHeat Deman
1900;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1901;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1902;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1903;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1904;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1905;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1906;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1907;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1908;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1909;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1910;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1911;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1912;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1913;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1914;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1915;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1916;73,26;73,26;112,20;112,20;51,48;51,48;51,48;51,48;349,14;349,14
1917;73,26;74,65;112,20;109,93;51,48;51,48;51,48;51,48;349,14;345,99
1918;73,26;77,44;112,20;105,38;51,48;51,48;51,48;51,48;349,14;339,68
1919;85,80;81,62;91,74;98,56;51,48;51,48;51,48;51,48;320,76;330,22
1920;85,80;84,41;91,74;94,01;51,48;51,48;51,48;51,48;320,76;323,91
1921;85,80;85,80;91,74;91,74;51,48;51,48;51,48;51,48;320,76;320,76
