Year;EFH;EFH_Vert;RH;RH_Vert;MFH ;MFH_Vert;GMH;GMH_Vert;UrbAVG;UrbAVG_Vert;SubUrb_AVG;SubUrb_AVG_Vert;Rur_AVG;Rur_AVG_Vert;"Total_AVG
";Total_AVG_Vert
1900;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1901;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1902;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1903;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1904;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1905;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1906;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1907;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1908;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1909;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1910;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1911;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1912;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1913;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1914;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1915;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1916;96,03;110,81;51,48;51,48;171,60;175,20;171,60;175,20;161,82;165,79;118,90;124,95;93,13;105,13;122,68;128,17
1917;93,50;108,39;51,48;51,48;162,87;167,83;158,25;161,45;151,53;155,85;113,98;120,59;90,67;102,82;116,53;122,29
1918;88,44;103,53;51,48;51,48;145,42;153,09;131,56;133,96;130,94;135,96;104,15;111,86;85,75;98,20;104,23;110,51
1919;80,85;96,26;51,48;51,48;119,24;130,98;91,52;92,72;100,07;106,14;89,40;98,77;78,36;91,28;85,77;92,86
1920;75,79;91,41;51,48;51,48;101,79;116,24;64,83;65,23;79,49;86,25;79,56;90,05;73,44;86,66;73,47;81,09
1921;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1922;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1923;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1924;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1925;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1926;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1927;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1928;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1929;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1930;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1931;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1932;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1933;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1934;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1935;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1936;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1937;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1938;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
1939;73,26;88,98;51,48;51,48;93,06;108,87;51,48;51,48;69,20;76,31;74,65;85,69;70,98;84,35;67,32;75,20
