Haustyp/Baualter;Vollgeschosse;Tatsächliche Vollgeschosse;Kellergeschosse;Dachgeschosse;Wohneinheiten;Heizwärmebedarf pro m2;Heizwärmebedarf gesamt;Heizwärmebedarf pro m3;GrundflächenVolumenBasisverhältnis;WohnflächenVolumenBasisverhältnis;Heizwärmebedarf pro m3 mit GVB-Korrektur;WF;BruttoV;V Keller;BruttoV o Keller;V Dach;BruttoV o Keller u Dach;Dachschräge;;Kellerdecke (GF);Dachfläche Projektion;V/GF;"Geschosshöhe GH
Neu";Geschosse Rechnerisch;Geschosshöhe GH;Geschosse RechnerischV/3/GF;Geschosse Rechn Gerundet;Wohnfläche/ Geschosse;
EFH_A  vor 1918 ;2;2,5;0;2;1;210;41790;54,41;1,00675174145736;1,5404211216286;54,05;199;768;0,00;768,00;187,00;581,00;1;3,42;85;85;7,53;3,01;2,50;3,86;2,51;2,50;79,60;101,70 %
EFH_B  vor 1918 ;2;2,2;1;1,5;1;250;32250;54,20;1,05004597069947;1,3503795939979;51,62;129;595;171,60;423,40;128,70;294,70;1;1,89;78;78;4,52;2,06;1,51;4,61;2,12;2,00;64,50;115,17 %
EFH_C  1919-1948 ;2;2,2;1;2;2;194;53350;50,66;1,18360796047263;1,63000982888066;42,81;275;1053;319,00;734,00;319,00;415,00;1;1,43;145;145;4,22;1,92;1,41;3,83;2,02;2,00;137,50;100,43 %
EFH_D  1949-1957 ;1;1,5;1;2;1;223;22523;59,27;1,23485830795463;1,38749945546468;48,00;101;380;176,00;204,00;176,00;28,00;1;0,35;80;80;2,13;1,42;0,71;3,76;1,32;1,50;67,33;113,15 %
EFH_E  1958-1968 ;1;1,5;1;2;1;166;40172;43,01;1,432228825628;1,59144655184806;30,03;242;934;431,20;502,80;431,20;71,60;1;0,37;196;196;2,14;1,43;0,71;3,86;1,32;1,50;161,33;115,70 %
EFH_F  1969-1978 ;1;1;1;0;1;182;28756;47,45;1,59858108577695;1,48538033081594;29,68;158;606;402,60;203,40;0,00;203,40;0;1,11;152;183;0,93;0,93;0,31;3,84;1,11;1,00;158,00;91,62 %
EFH_F/F 1969-1978;1;1;1;0,5;1;123;20664;36,90;1,24908000684462;1,57250474717412;29,54;168;560;233,20;326,80;58,30;268,50;1;2,53;106;106;2,57;2,57;0,86;3,33;1,47;1,50;112,00;90,14 %
EFH_G  1979-1983 ;2;1,5;1;1,5;1;120;23520;36,35;1,0533457628811;1,61867605446288;34,51;196;647;182,60;464,40;136,95;327,45;1;1,97;83;83;4,66;3,11;1,55;3,30;2,17;2,00;98,00;80,66 %
EFH_H  1984-1994 ;1;1,5;1;1,5;1;140;19180;37,32;1,08112586775296;1,46118737308017;34,52;137;514;165,00;349,00;123,75;225,25;1;3,00;75;75;3,88;2,59;1,29;3,75;1,90;2,00;68,50;104,28 %
RH_B  vor 1918 ;2;2;1;0,5;1;204;17748;45,51;1,06019907956825;1,27664874889696;42,92;87;390;132,00;258,00;33,00;225,00;2;1,88;60;60;3,58;1,79;1,19;4,48;1,81;2,00;43,50;131,36 %
RH_C  1919-1948 ;2;2;1;0;1;166;17098;40,42;0,941972475888483;1,35198484436137;42,91;103;423;110,00;313,00;0,00;313,00;2;3,13;50;50;5,22;2,61;1,74;4,11;2,35;2,50;41,20;115,58 %
