Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1900;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1901;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1902;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1903;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1904;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1905;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1906;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1907;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1908;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1909;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1910;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1911;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1912;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1913;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1914;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1915;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1916;1,37;1,37;1,45;1,45;2,60;2,60;2,65;2,65;1,73;1,73
1917;1,37;1,34;1,45;1,45;2,60;2,40;2,65;2,45;1,73;1,68
1918;1,37;1,28;1,45;1,45;2,60;1,99;2,65;2,03;1,73;1,57
1919;1,11;1,20;1,45;1,45;0,78;1,39;0,78;1,40;1,25;1,41
1920;1,11;1,14;1,45;1,45;0,78;0,98;0,78;0,99;1,25;1,30
1921;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
1922;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
1923;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
1924;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
1925;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
1926;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
1927;1,11;1,11;1,45;1,45;0,78;0,78;0,78;0,78;1,25;1,25
