Year;EFH;RH;MFH ;GMH;Urb AVG;"SubUrb AVG
";Rur AVG;Total AVG
1900;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1901;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1902;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1903;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1904;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1905;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1906;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1907;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1908;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1909;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1910;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1911;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1912;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1913;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1914;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1915;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1916;1,08;1,11;1,21;1,37;1,28;1,15;1,09;1,19
1917;1,08;1,13;1,19;1,34;1,26;1,15;1,09;1,19
1918;1,09;1,17;1,17;1,28;1,22;1,15;1,10;1,18
1919;1,10;1,24;1,14;1,20;1,17;1,16;1,12;1,17
1920;1,11;1,28;1,12;1,14;1,14;1,16;1,13;1,16
1921;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1922;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1923;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1924;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1925;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1926;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1927;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1928;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1929;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1930;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1931;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1932;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1933;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1934;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1935;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1936;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1937;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1938;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1939;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1940;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1941;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1942;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1943;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1944;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1945;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1946;1,11;1,30;1,11;1,11;1,12;1,16;1,14;1,16
1947;1,10;1,27;1,13;1,16;1,15;1,16;1,13;1,17
1948;1,08;1,20;1,18;1,26;1,22;1,16;1,10;1,18
1949;1,04;1,11;1,26;1,40;1,31;1,16;1,06;1,20
1950;1,02;1,04;1,31;1,50;1,38;1,16;1,04;1,22
1951;1,01;1,01;1,33;1,55;1,41;1,17;1,03;1,23
1952;1,01;1,01;1,33;1,55;1,41;1,17;1,03;1,23
1953;1,01;1,01;1,33;1,55;1,41;1,17;1,03;1,23
1954;1,01;1,01;1,33;1,55;1,41;1,17;1,03;1,23
1955;1,01;1,01;1,33;1,55;1,41;1,17;1,03;1,23
1956;1,01;1,01;1,29;1,48;1,36;1,14;1,02;1,20
1957;1,00;1,00;1,22;1,34;1,25;1,10;1,01;1,14
1958;0,98;0,98;1,10;1,12;1,10;1,04;0,99;1,05
1959;0,97;0,97;1,03;0,98;1,00;1,00;0,98;0,99
1960;0,97;0,97;0,99;0,91;0,95;0,98;0,97;0,96
1961;0,97;0,97;0,99;0,91;0,95;0,98;0,97;0,96
