Year;Base;Wall;Roof;Roof (Vert;Average;Average (Vert) 
1900;1,09;1,78;1,41;1,59;1,60;1,63
1901;1,09;1,78;1,41;1,59;1,60;1,63
1902;1,09;1,78;1,41;1,59;1,60;1,63
1903;1,09;1,78;1,41;1,59;1,60;1,63
1904;1,09;1,78;1,41;1,59;1,60;1,63
1905;1,09;1,78;1,41;1,59;1,60;1,63
1906;1,09;1,78;1,41;1,59;1,60;1,63
1907;1,09;1,78;1,41;1,59;1,60;1,63
1908;1,09;1,78;1,41;1,59;1,60;1,63
1909;1,09;1,78;1,41;1,59;1,60;1,63
1910;1,09;1,78;1,41;1,59;1,60;1,63
1911;1,09;1,78;1,41;1,59;1,60;1,63
1912;1,09;1,78;1,41;1,59;1,60;1,63
1913;1,09;1,78;1,41;1,59;1,60;1,63
1914;1,09;1,78;1,41;1,59;1,60;1,63
1915;1,09;1,78;1,41;1,59;1,60;1,63
1916;1,09;1,78;1,41;1,59;1,60;1,63
1917;1,09;1,76;1,37;1,56;1,59;1,62
1918;1,10;1,74;1,30;1,49;1,56;1,59
1919;1,12;1,69;1,19;1,38;1,51;1,55
1920;1,13;1,66;1,11;1,31;1,48;1,52
1921;1,14;1,65;1,08;1,28;1,47;1,50
1922;1,14;1,65;1,08;1,28;1,47;1,50
1923;1,14;1,65;1,08;1,28;1,47;1,50
1924;1,14;1,65;1,08;1,28;1,47;1,50
1925;1,14;1,65;1,08;1,28;1,47;1,50
1926;1,14;1,65;1,08;1,28;1,47;1,50
1927;1,14;1,65;1,08;1,28;1,47;1,50
1928;1,14;1,65;1,08;1,28;1,47;1,50
1929;1,14;1,65;1,08;1,28;1,47;1,50
1930;1,14;1,65;1,08;1,28;1,47;1,50
1931;1,14;1,65;1,08;1,28;1,47;1,50
1932;1,14;1,65;1,08;1,28;1,47;1,50
1933;1,14;1,65;1,08;1,28;1,47;1,50
1934;1,14;1,65;1,08;1,28;1,47;1,50
1935;1,14;1,65;1,08;1,28;1,47;1,50
1936;1,14;1,65;1,08;1,28;1,47;1,50
1937;1,14;1,65;1,08;1,28;1,47;1,50
1938;1,14;1,65;1,08;1,28;1,47;1,50
