Year;Base;Wall;Roof;Roof (Vert;Average;Average (Vert) 
1900;1,15;1,71;1,80;1,89;1,63;1,65
1901;1,15;1,71;1,80;1,89;1,63;1,65
1902;1,15;1,71;1,80;1,89;1,63;1,65
1903;1,15;1,71;1,80;1,89;1,63;1,65
1904;1,15;1,71;1,80;1,89;1,63;1,65
1905;1,15;1,71;1,80;1,89;1,63;1,65
1906;1,15;1,71;1,80;1,89;1,63;1,65
1907;1,15;1,71;1,80;1,89;1,63;1,65
1908;1,15;1,71;1,80;1,89;1,63;1,65
1909;1,15;1,71;1,80;1,89;1,63;1,65
1910;1,15;1,71;1,80;1,89;1,63;1,65
1911;1,15;1,71;1,80;1,89;1,63;1,65
1912;1,15;1,71;1,80;1,89;1,63;1,65
1913;1,15;1,71;1,80;1,89;1,63;1,65
1914;1,15;1,71;1,80;1,89;1,63;1,65
1915;1,15;1,71;1,80;1,89;1,63;1,65
1916;1,15;1,71;1,80;1,89;1,63;1,65
1917;1,15;1,69;1,73;1,83;1,61;1,63
1918;1,15;1,67;1,58;1,69;1,57;1,59
1919;1,16;1,63;1,35;1,50;1,50;1,53
1920;1,16;1,60;1,21;1,36;1,46;1,49
1921;1,16;1,59;1,13;1,30;1,44;1,47
1922;1,16;1,59;1,13;1,30;1,44;1,47
1923;1,16;1,59;1,13;1,30;1,44;1,47
1924;1,16;1,59;1,13;1,30;1,44;1,47
1925;1,16;1,59;1,13;1,30;1,44;1,47
1926;1,16;1,59;1,13;1,30;1,44;1,47
1927;1,16;1,59;1,13;1,30;1,44;1,47
1928;1,16;1,59;1,13;1,30;1,44;1,47
1929;1,16;1,59;1,13;1,30;1,44;1,47
1930;1,16;1,59;1,13;1,30;1,44;1,47
1931;1,16;1,59;1,13;1,30;1,44;1,47
1932;1,16;1,59;1,13;1,30;1,44;1,47
1933;1,16;1,59;1,13;1,30;1,44;1,47
1934;1,16;1,59;1,13;1,30;1,44;1,47
1935;1,16;1,59;1,13;1,30;1,44;1,47
1936;1,16;1,59;1,13;1,30;1,44;1,47
1937;1,16;1,59;1,13;1,30;1,44;1,47
1938;1,16;1,59;1,13;1,30;1,44;1,47
1939;1,16;1,59;1,13;1,30;1,44;1,47
1940;1,16;1,59;1,13;1,30;1,44;1,47
1941;1,16;1,59;1,13;1,30;1,44;1,47
1942;1,16;1,59;1,13;1,30;1,44;1,47
1943;1,16;1,59;1,13;1,30;1,44;1,47
1944;1,16;1,59;1,13;1,30;1,44;1,47
1945;1,16;1,59;1,13;1,30;1,44;1,47
1946;1,16;1,59;1,13;1,30;1,44;1,47
1947;1,16;1,54;1,13;1,29;1,41;1,43
1948;1,16;1,45;1,12;1,27;1,34;1,37
1949;1,16;1,31;1,11;1,24;1,25;1,27
1950;1,16;1,21;1,10;1,22;1,19;1,21
1951;1,17;1,17;1,09;1,21;1,15;1,17
1952;1,17;1,17;1,09;1,21;1,15;1,17
1953;1,17;1,17;1,09;1,21;1,15;1,17
1954;1,17;1,17;1,09;1,21;1,15;1,17
1955;1,17;1,17;1,09;1,21;1,15;1,17
1956;1,14;1,19;1,12;1,23;1,17;1,19
1957;1,10;1,24;1,17;1,27;1,20;1,22
1958;1,04;1,31;1,24;1,32;1,25;1,27
1959;1,00;1,36;1,29;1,36;1,29;1,30
1960;0,98;1,39;1,31;1,38;1,30;1,32
1961;0,98;1,39;1,31;1,38;1,30;1,32
1962;0,98;1,39;1,31;1,38;1,30;1,32
1963;0,98;1,39;1,31;1,38;1,30;1,32
1964;0,98;1,39;1,31;1,38;1,30;1,32
1965;0,98;1,39;1,31;1,38;1,30;1,32
1966;0,98;1,39;1,31;1,38;1,30;1,32
1967;0,97;1,32;1,23;1,29;1,25;1,26
1968;0,97;1,19;1,07;1,12;1,13;1,14
1969;0,96;0,99;0,82;0,86;0,96;0,96
1970;0,95;0,86;0,66;0,69;0,84;0,84
1971;0,95;0,79;0,58;0,60;0,78;0,79
1972;0,95;0,79;0,58;0,60;0,78;0,79
1973;0,95;0,79;0,58;0,60;0,78;0,79
1974;0,95;0,79;0,58;0,60;0,78;0,79
1975;0,95;0,79;0,58;0,60;0,78;0,79
1976;0,95;0,79;0,58;0,60;0,78;0,79
1977;0,92;0,79;0,57;0,60;0,77;0,78
1978;0,87;0,79;0,54;0,58;0,76;0,77
