Year;EFH;RH;MFH ;GMH;UrbAVG;SubUrbAVG;RurAVG;TotalAVG
1900;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1901;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1902;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1903;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1904;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1905;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1906;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1907;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1908;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1909;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1910;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1911;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1912;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1913;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1914;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1915;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1916;1,66;1,32;1,81;1,73;1,74;1,64;1,62;1,63
1917;1,65;1,31;1,78;1,68;1,70;1,62;1,60;1,60
1918;1,62;1,29;1,72;1,57;1,62;1,58;1,58;1,55
1919;1,58;1,25;1,64;1,41;1,50;1,51;1,53;1,47
1920;1,56;1,23;1,58;1,30;1,42;1,47;1,51;1,42
1921;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1922;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1923;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1924;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1925;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1926;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1927;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1928;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1929;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1930;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1931;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1932;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1933;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1934;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1935;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1936;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1937;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1938;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1939;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1940;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1941;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1942;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1943;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1944;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1945;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1946;1,54;1,22;1,55;1,25;1,38;1,45;1,49;1,39
1947;1,50;1,18;1,53;1,27;1,38;1,42;1,46;1,37
1948;1,43;1,10;1,47;1,30;1,37;1,36;1,38;1,33
1949;1,31;0,99;1,40;1,36;1,35;1,27;1,27;1,26
1950;1,23;0,91;1,34;1,39;1,34;1,20;1,19;1,22
1951;1,19;0,87;1,32;1,41;1,34;1,17;1,15;1,20
1952;1,19;0,87;1,32;1,41;1,34;1,17;1,15;1,20
1953;1,19;0,87;1,32;1,41;1,34;1,17;1,15;1,20
1954;1,19;0,87;1,32;1,41;1,34;1,17;1,15;1,20
1955;1,19;0,87;1,32;1,41;1,34;1,17;1,15;1,20
1956;1,21;0,92;1,32;1,37;1,32;1,19;1,17;1,20
1957;1,23;1,01;1,33;1,30;1,29;1,22;1,20;1,22
1958;1,27;1,14;1,33;1,19;1,25;1,26;1,26;1,23
1959;1,30;1,23;1,34;1,12;1,22;1,29;1,29;1,25
1960;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1961;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1962;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1963;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1964;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1965;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1966;1,31;1,27;1,34;1,08;1,21;1,30;1,31;1,25
1967;1,26;1,21;1,28;1,07;1,17;1,24;1,25;1,20
1968;1,14;1,10;1,15;1,05;1,09;1,13;1,14;1,11
1969;0,97;0,94;0,95;1,02;0,98;0,96;0,96;0,97
1970;0,85;0,83;0,82;0,99;0,91;0,84;0,85;0,87
1971;0,80;0,77;0,75;0,98;0,87;0,78;0,79;0,83
1972;0,80;0,77;0,75;0,98;0,87;0,78;0,79;0,83
1973;0,80;0,77;0,75;0,98;0,87;0,78;0,79;0,83
1974;0,80;0,77;0,75;0,98;0,87;0,78;0,79;0,83
1975;0,80;0,77;0,75;0,98;0,87;0,78;0,79;0,83
1976;0,80;0,77;0,75;0,98;0,87;0,78;0,79;0,83
1977;0,79;0,76;0,75;0,98;0,87;0,78;0,79;0,82
1978;0,78;0,73;0,74;0,96;0,85;0,76;0,77;0,80
