Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1900;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1901;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1902;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1903;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1904;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1905;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1906;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1907;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1908;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1909;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1910;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1911;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1912;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1913;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1914;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1915;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1916;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1917;1,08;1,08;1,80;1,79;1,46;1,42;1,68;1,64;1,66;1,65
1918;1,08;1,09;1,80;1,77;1,46;1,34;1,68;1,57;1,66;1,62
1919;1,11;1,10;1,70;1,73;1,11;1,23;1,35;1,46;1,54;1,58
1920;1,11;1,11;1,70;1,71;1,11;1,15;1,35;1,38;1,54;1,56
1921;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1922;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1923;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1924;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1925;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1926;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1927;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1928;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1929;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1930;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1931;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1932;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1933;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1934;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1935;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1936;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1937;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1938;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1939;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1940;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1941;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1942;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1943;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1944;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1945;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1946;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1947;1,11;1,10;1,70;1,64;1,11;1,11;1,35;1,35;1,54;1,50
1948;1,11;1,08;1,70;1,53;1,11;1,11;1,35;1,35;1,54;1,43
