Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1880;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1900;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1909;1,08;1,08;1,80;1,80;1,46;1,46;1,68;1,68;1,66;1,66
1919;1,11;1,10;1,70;1,73;1,11;1,23;1,35;1,46;1,54;1,58
1934;1,11;1,11;1,70;1,70;1,11;1,11;1,35;1,35;1,54;1,54
1953;1,01;1,01;1,20;1,20;1,11;1,11;1,35;1,35;1,19;1,19
1963;0,97;0,97;1,44;1,44;0,92;0,92;1,15;1,15;1,31;1,31
1974;0,91;0,91;0,81;0,81;0,58;0,58;0,66;0,66;0,80;0,80
1981;0,81;0,81;0,80;0,80;0,43;0,43;0,57;0,57;0,76;0,76
1989;0,55;0,55;0,68;0,68;0,30;0,30;0,41;0,41;0,60;0,60
1999;0,34;0,34;0,55;0,55;0,22;0,22;0,30;0,30;0,47;0,47
2008;0,40;0,40;0,35;0,35;0,22;0,22;0,30;0,30;0,35;0,35
2011;0,40;0,40;0,35;0,35;0,22;0,22;0,30;0,30;0,35;0,35
2015;0,40;0,40;0,35;0,35;0,22;0,22;0,30;0,30;0,35;0,35
2025;0,40;0,40;0,35;0,35;0,22;0,22;0,30;0,30;0,35;0,35
