Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1900;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1901;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1902;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1903;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1904;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1905;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1906;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1907;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1908;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1909;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1910;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1911;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1912;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1913;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1914;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1915;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1916;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1917;1,21;1,19;1,68;1,67;2,60;2,47;2,65;2,54;1,81;1,78
1918;1,21;1,17;1,68;1,66;2,60;2,20;2,65;2,32;1,81;1,72
1919;1,11;1,14;1,64;1,65;1,41;1,81;1,65;1,98;1,55;1,64
1920;1,11;1,12;1,64;1,64;1,41;1,54;1,65;1,76;1,55;1,58
1921;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1922;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1923;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1924;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1925;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1926;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1927;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1928;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1929;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1930;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1931;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1932;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1933;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1934;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1935;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1936;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1937;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1938;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1939;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1940;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1941;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1942;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1943;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1944;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1945;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1946;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1947;1,11;1,13;1,64;1,61;1,41;1,38;1,65;1,61;1,55;1,53
1948;1,11;1,18;1,64;1,54;1,41;1,33;1,65;1,52;1,55;1,47
1949;1,33;1,26;1,33;1,43;1,16;1,24;1,27;1,40;1,32;1,40
1950;1,33;1,31;1,33;1,36;1,16;1,18;1,27;1,32;1,32;1,34
1951;1,33;1,33;1,33;1,33;1,16;1,16;1,27;1,27;1,32;1,32
1952;1,33;1,33;1,33;1,33;1,16;1,16;1,27;1,27;1,32;1,32
1953;1,33;1,33;1,33;1,33;1,16;1,16;1,27;1,27;1,32;1,32
1954;1,33;1,33;1,33;1,33;1,16;1,16;1,27;1,27;1,32;1,32
1955;1,33;1,33;1,33;1,33;1,16;1,16;1,27;1,27;1,32;1,32
1956;1,33;1,29;1,33;1,33;1,16;1,22;1,27;1,32;1,32;1,32
1957;1,33;1,22;1,33;1,33;1,16;1,34;1,27;1,42;1,32;1,33
1958;0,99;1,10;1,34;1,33;1,72;1,53;1,72;1,57;1,34;1,33
1959;0,99;1,03;1,34;1,33;1,72;1,66;1,72;1,67;1,34;1,34
1960;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1961;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1962;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1963;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1964;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1965;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1966;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1967;0,99;0,99;1,34;1,27;1,72;1,59;1,72;1,59;1,34;1,28
1968;0,99;0,98;1,34;1,14;1,72;1,34;1,72;1,34;1,34;1,15
1969;0,97;0,98;0,74;0,94;0,59;0,97;0,59;0,97;0,75;0,95
1970;0,97;0,97;0,74;0,81;0,59;0,72;0,59;0,72;0,75;0,82
