Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1880;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1900;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1909;1,21;1,21;1,68;1,68;2,60;2,60;2,65;2,65;1,81;1,81
1919;1,11;1,14;1,64;1,65;1,41;1,81;1,65;1,98;1,55;1,64
1934;1,11;1,11;1,64;1,64;1,41;1,41;1,65;1,65;1,55;1,55
1953;1,33;1,33;1,33;1,33;1,16;1,16;1,27;1,27;1,32;1,32
1963;0,99;0,99;1,34;1,34;1,72;1,72;1,72;1,72;1,34;1,34
1974;0,97;0,97;0,74;0,74;0,59;0,59;0,59;0,59;0,75;0,75
1981;0,67;0,67;0,80;0,80;0,44;0,44;0,44;0,44;0,72;0,72
1989;0,55;0,55;0,66;0,66;0,30;0,30;0,30;0,30;0,58;0,58
1999;0,34;0,34;0,28;0,28;0,21;0,21;0,21;0,21;0,28;0,28
2008;0,34;0,34;0,35;0,35;0,22;0,22;0,30;0,30;0,34;0,34
2011;0,34;0,34;0,35;0,35;0,22;0,22;0,30;0,30;0,34;0,34
2015;0,34;0,34;0,35;0,35;0,22;0,22;0,30;0,30;0,34;0,34
