Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1900;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1901;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1902;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1903;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1904;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1905;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1906;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1907;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1908;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1909;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1910;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1911;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1912;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1913;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1914;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1915;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1916;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1917;1,11;1,13;1,70;1,67;0,78;0,78;0,78;0,78;1,32;1,31
1918;1,11;1,17;1,70;1,60;0,78;0,78;0,78;0,78;1,32;1,29
1919;1,30;1,24;1,39;1,49;0,78;0,78;0,78;0,78;1,22;1,25
1920;1,30;1,28;1,39;1,42;0,78;0,78;0,78;0,78;1,22;1,23
1921;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1922;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1923;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1924;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1925;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1926;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1927;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1928;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1929;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1930;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1931;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1932;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1933;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1934;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1935;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1936;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1937;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1938;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1939;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1940;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1941;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1942;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1943;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1944;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1945;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1946;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1947;1,30;1,27;1,39;1,33;0,78;0,78;0,78;0,78;1,22;1,18
1948;1,30;1,20;1,39;1,21;0,78;0,78;0,78;0,78;1,22;1,10
1949;1,01;1,11;0,86;1,04;0,78;0,78;0,78;0,78;0,87;0,99
1950;1,01;1,04;0,86;0,92;0,78;0,78;0,78;0,78;0,87;0,91
1951;1,01;1,01;0,86;0,86;0,78;0,78;0,78;0,78;0,87;0,87
1952;1,01;1,01;0,86;0,86;0,78;0,78;0,78;0,78;0,87;0,87
1953;1,01;1,01;0,86;0,86;0,78;0,78;0,78;0,78;0,87;0,87
1954;1,01;1,01;0,86;0,86;0,78;0,78;0,78;0,78;0,87;0,87
1955;1,01;1,01;0,86;0,86;0,78;0,78;0,78;0,78;0,87;0,87
1956;1,01;1,01;0,86;0,92;0,78;0,83;0,78;0,83;0,87;0,92
1957;1,01;1,00;0,86;1,05;0,78;0,93;0,78;0,93;0,87;1,01
1958;0,97;0,98;1,44;1,25;1,23;1,08;1,23;1,08;1,27;1,14
1959;0,97;0,97;1,44;1,38;1,23;1,18;1,23;1,18;1,27;1,23
1960;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1961;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1962;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1963;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1964;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1965;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1966;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1967;0,97;0,97;1,44;1,37;1,23;1,15;1,23;1,15;1,27;1,21
1968;0,97;0,97;1,44;1,23;1,23;0,99;1,23;0,99;1,27;1,10
1969;0,97;0,97;0,80;1,01;0,52;0,76;0,52;0,76;0,77;0,94
1970;0,97;0,97;0,80;0,87;0,52;0,60;0,52;0,60;0,77;0,83
1971;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1972;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1973;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1974;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1975;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1976;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1977;0,97;0,94;0,80;0,79;0,52;0,51;0,52;0,53;0,77;0,76
1978;0,97;0,87;0,80;0,76;0,52;0,49;0,52;0,54;0,77;0,73
1979;0,67;0,77;0,68;0,72;0,43;0,46;0,57;0,55;0,65;0,69
1980;0,67;0,70;0,68;0,69;0,43;0,44;0,57;0,57;0,65;0,66
1981;0,67;0,67;0,68;0,68;0,43;0,43;0,57;0,57;0,65;0,65
1982;0,67;0,66;0,68;0,69;0,43;0,42;0,57;0,55;0,65;0,65
1983;0,67;0,63;0,68;0,71;0,43;0,39;0,57;0,52;0,65;0,65
1984;0,55;0,59;0,77;0,74;0,30;0,34;0,41;0,46;0,65;0,65
1985;0,55;0,56;0,77;0,76;0,30;0,31;0,41;0,42;0,65;0,65
1986;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1987;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1988;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1989;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1990;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1991;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1992;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1993;0,55;0,52;0,77;0,74;0,30;0,29;0,41;0,39;0,65;0,63
1994;0,55;0,47;0,77;0,68;0,30;0,27;0,41;0,37;0,65;0,57
1995;0,32;0,40;0,49;0,58;0,22;0,25;0,30;0,34;0,40;0,48
1996;0,32;0,35;0,49;0,52;0,22;0,23;0,30;0,31;0,40;0,43
1997;0,32;0,32;0,49;0,49;0,22;0,22;0,30;0,30;0,40;0,40
1998;0,32;0,32;0,49;0,49;0,22;0,22;0,30;0,30;0,40;0,40
1999;0,32;0,32;0,49;0,49;0,22;0,22;0,30;0,30;0,40;0,40
2000;0,32;0,32;0,49;0,46;0,22;0,21;0,30;0,29;0,40;0,38
2001;0,32;0,31;0,49;0,41;0,22;0,19;0,30;0,27;0,40;0,35
2002;0,29;0,30;0,24;0,32;0,14;0,17;0,19;0,23;0,24;0,29
2003;0,29;0,29;0,24;0,27;0,14;0,15;0,19;0,21;0,24;0,26
2004;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2005;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2006;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2007;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2008;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2009;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2010;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2011;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2012;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2013;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2014;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2015;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
Mittel;0,91;0,91;1,07;1,07;0,63;0,63;0,66;0,66;0,93;0,93
