Year;UGround ;UGround ;UWall ;UWall;URoof;URoof ;URoof (Vert);URoof (Vert);UUnified;UUnified
1880;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1900;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1909;1,11;1,11;1,70;1,70;0,78;0,78;0,78;0,78;1,32;1,32
1919;1,30;1,24;1,39;1,49;0,78;0,78;0,78;0,78;1,22;1,25
1934;1,30;1,30;1,39;1,39;0,78;0,78;0,78;0,78;1,22;1,22
1953;1,01;1,01;0,86;0,86;0,78;0,78;0,78;0,78;0,87;0,87
1963;0,97;0,97;1,44;1,44;1,23;1,23;1,23;1,23;1,27;1,27
1974;0,97;0,97;0,80;0,80;0,52;0,52;0,52;0,52;0,77;0,77
1981;0,67;0,67;0,68;0,68;0,43;0,43;0,57;0,57;0,65;0,65
1989;0,55;0,55;0,77;0,77;0,30;0,30;0,41;0,41;0,65;0,65
1999;0,32;0,32;0,49;0,49;0,22;0,22;0,30;0,30;0,40;0,40
2008;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2011;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
2015;0,29;0,29;0,24;0,24;0,14;0,14;0,19;0,19;0,24;0,24
